record_id,text,primary_problem,secondary_problems,primary_organization,supporting_organizations,priority,latitude,longitude,district,source_type,expert_verified,split,notes
44c07559-0dea-4ff4-8319-d179a8da8d5d,yo‘l asfalt buzilgan,,,Ta'limni rivojlantirish markazi,,,41.347989,69.284978,,real,Yo‘q,train,label_source=report_organization
9a78b849-ae17-4635-bf80-0983a5d27a1b,title. Musor 3 kundan beri to'panib yotibdi,,,Ta'limni rivojlantirish markazi,,,41.348103,69.284953,,real,Yo‘q,test,label_source=report_organization
51c337ca-fd0a-401f-9f78-bc07c5bdc80a,Svet yo‘q,ELEC_OUTAGE,,Energetika vazirligi,,Yuqori,41.384148,69.316795,,real,Yo‘q,validation,label_source=report_organization; detected=ELEC_OUTAGE
5f99edf0-da02-4905-a6e2-4f8fd1b8e650,Setafor ishlamayapyi,,,Bilmayman,,,41.297026,69.169407,,real,Yo‘q,validation,label_source=report_organization
9f51b1e2-5eec-43a7-a1c7-1d07cee1816e,Set ko'p ochib yonvoti,,,Bilmayman,,,40.991316,71.243138,,real,Yo‘q,train,label_source=report_organization
a647a230-5356-4d92-b363-9711039f5992,Gaz yoq,,,Bilmayman,,,41.006029,71.103048,,real,Yo‘q,validation,label_source=report_organization
a7a7a3ce-40ae-42fe-9045-54297ca6610a,geo murojaatlarimni ko'rish,,,Bilmayman,,,41.365718,69.293430,,real,Yo‘q,test,label_source=report_organization
bdecb0b3-6df8-428e-aa37-0b6bdabb50e3,Ko‘chada musorlar yoyilib yotibdi,,,Bilmayman,,,41.288723,69.228613,,real,Yo‘q,train,label_source=report_organization
e87f9520-b1f9-4a30-a5cc-243d4e719529,Gaz you,,,Bilmayman,,,41.310050,69.280472,,real,Yo‘q,train,label_source=report_organization
891fd75d-4d5d-4388-a45d-663ffa955b48,Seftafor ishlamayapti,,,Bilmayman,,,41.469997,69.573669,,real,Yo‘q,train,label_source=report_organization
97d66df5-5f73-4167-ab3f-949ad758cf47,gaz ochigan,,,Bilmayman,,,41.030035,70.073547,,real,Yo‘q,train,label_source=report_organization
b2c96e6f-eec5-48fa-b0be-80be3ea6a07a,seftafor ishlamayapti,,,Bilmayman,,,40.288951,71.979675,,real,Yo‘q,validation,label_source=report_organization
d4b4eac8-7873-46e3-b668-f880b9a939ca,yollar notekis yamalar kopayib ketgan,,,Bilmayman,,,39.488419,63.814087,,real,Yo‘q,train,label_source=report_organization
e281a47f-e518-4df5-a687-94a874b9aa88,sovuq suv ochgamn,,,Bilmayman,,,41.003810,71.098022,,real,Yo‘q,train,label_source=report_organization
000001e3-0984-42fd-943b-f81ef957c978,Nosos setafor,,,Bilmayman,,,41.367018,69.290428,,real,Yo‘q,train,label_source=report_organization
00194ca9-f05e-4ef8-b058-6bc0336c6d9c,Chiqindilar o’z vaqtida olib ketmayapti,ECO_WASTE,,Adliya vazirligi,,O‘rta,41.566142,69.787903,,real,Yo‘q,train,label_source=report_organization; detected=ECO_WASTE
004cdc86-a1dc-4cc3-a730-c901c88e2385,Elektron qurilmalar ishlamayapti,,,Bilmayman,,,41.027433,69.329224,,real,Yo‘q,train,label_source=report_organization
05ba03e8-6c35-42b3-b434-0ae2bf99e43c,Daraxtlar noqonuniy kesilyapti,,,Bilmayman,,,41.401602,69.210602,,real,Yo‘q,train,label_source=report_organization
0a0e166e-a19b-4f5e-8632-3f4f2fedf382,Mahallalar ifloslantirilyapti,,,Bilmayman,,,41.115073,69.044494,,real,Yo‘q,train,label_source=report_organization
0bc6c423-653f-4f08-bfa7-61b155ae4d6b,Stadionlar qurilmagan,,,Bilmayman,,,41.308184,69.275709,,real,Yo‘q,test,label_source=report_organization
0f0edea4-5631-4a02-a680-398a00b515bb,Setafor ishlamayapti,,,Bilmayman,,,39.977120,68.411865,,real,Yo‘q,test,label_source=report_organization
13562dae-e62c-4e1d-be7f-7ab912373aab,Gaz yoq,,,Bilmayman,,,39.973298,64.541895,,real,Yo‘q,train,label_source=report_organization
149843bf-fd11-4817-b2c4-b7ed576b6b9b,Gaz bosimi keskin tushib ketgan,,,Bilmayman,,,37.235652,67.290531,,real,Yo‘q,train,label_source=report_organization
1572effa-ccfc-426a-917a-fbc642b06d3b,Elektr shitida kabellar eskirgan,,,Bilmayman,,,41.283483,69.248543,,real,Yo‘q,train,label_source=report_organization
165c8083-0843-45a7-a4da-8c27c48f6d90,Avtobus Haydovchisi yod agaplashyapti,,,Bilmayman,,,41.119310,70.103989,,real,Yo‘q,train,label_source=report_organization
1a940665-d8e8-4e0f-acda-b3af1e51fa80,Uylarni tomi teshilyapti,,,Bilmayman,,,41.391873,69.718591,,real,Yo‘q,train,label_source=report_organization
1b09957c-2218-4507-8878-91d62b89a0af,Daraxtlar ruxsatsiz kesilmoqda,,,Bilmayman,,,40.233412,69.239502,,real,Yo‘q,train,label_source=report_organization
1ce6ae06-a892-4b4d-ad86-0b558365f022,Tratuarlarda yollar noqulay holatda,,,Bilmayman,,,41.231453,69.508118,,real,Yo‘q,train,label_source=report_organization
1fee2174-f8c8-4ceb-a6a7-9f95468a2e5c,Yol chizigʻi ochib ketgan,,,Bilmayman,,,38.803869,66.160343,,real,Yo‘q,train,label_source=report_organization
26e1d264-dc00-4e9f-873f-eb12ae7d8ee5,Setafor ishlamayapti,,,Bilmayman,,,40.572240,69.027100,,real,Yo‘q,train,label_source=report_organization
26fedc2a-df64-4528-8173-238733d4b534,Toʻlovni juda muammo,,,Bilmayman,,,40.487148,68.797031,,real,Yo‘q,train,label_source=report_organization
2bb20bf7-7511-469b-992a-c36735e907a3,Ichimlik suvi quvri yorilgan,,,Bilmayman,,,39.635699,67.018668,,real,Yo‘q,train,label_source=report_organization
2d40d8d3-2c1e-480a-bdb4-5c0407248257,Setafor ishlamayapti,,,Bilmayman,,,41.007539,70.076294,,real,Yo‘q,test,label_source=report_organization
3137442c-95df-4db5-a4f0-f348bdd61788,Sassiq havo koʻpayib ketgan,,,Bilmayman,,,41.389832,69.477639,,real,Yo‘q,test,label_source=report_organization
33ddbd9b-a836-4abc-a6fc-3fc778f83457,Koʻchalar iflos,,,Bilmayman,,,41.283401,69.352293,,real,Yo‘q,train,label_source=report_organization
35054b7f-de7b-4573-bbac-314385a5ae06,Kochalar tekislanmayapti,,,Bilmayman,,,41.296301,69.671173,,real,Yo‘q,test,label_source=report_organization
37c49bdc-8ac0-4022-a356-0e1d18055fdf,Yollarda chuqueluk kopayib ketgan,,,Bilmayman,,,41.662311,60.292053,,real,Yo‘q,train,label_source=report_organization
3a594a3a-5bb4-4b90-aaad-fd22805cffcc,Yol qismini suv bosgan,,,Bilmayman,,,41.182900,69.299873,,real,Yo‘q,validation,label_source=report_organization
3c17582e-d571-4e88-a8fb-122bedc825f6,Gaz hisoblagich ishlamayapti,,,Bilmayman,,,41.363916,69.288025,,real,Yo‘q,train,label_source=report_organization
3fc3804a-629a-4914-8b8e-27c0ef17db7c,Gaz koʻpayib ketyapti,,,Bilmayman,,,41.325882,69.360842,,real,Yo‘q,train,label_source=report_organization
41d8164b-ddd9-419c-be4e-7aa4ea70d21e,Seftafor ishlamayapti,,,Bilmayman,,,41.715297,60.527115,,real,Yo‘q,train,label_source=report_organization
42fe0d0e-9aba-4009-99c0-709f380be223,Suv kemayapti,,,Bilmayman,,,41.310249,69.275366,,real,Yo‘q,train,label_source=report_organization
4396f40f-44f5-4a30-b6fa-65dc50943d96,Daraxar kesib tashlanmoqda,,,Bilmayman,,,41.128677,69.421234,,real,Yo‘q,train,label_source=report_organization
44fb205a-09b7-49e2-b055-8e2282ee900d,Koʻp hayvonlar vafot etyapti oʻrmonda,,,Bilmayman,,,41.388060,69.831261,,real,Yo‘q,test,label_source=report_organization
45925d4d-e789-4556-accd-7d89be77a323,Stadionlar qurilmayapti,,,Bilmayman,,,40.817721,68.659058,,real,Yo‘q,train,label_source=report_organization
46399256-50e3-48ce-8da6-68c0e93887de,Sevet ochgan,,,Bilmayman,,,42.526097,59.604492,,real,Yo‘q,validation,label_source=report_organization
4897f22c-3b89-452f-b2a2-154728543795,Gaz bosimi pasayib ketgan,,,Bilmayman,,,40.115890,65.352173,,real,Yo‘q,train,label_source=report_organization
50769eba-11f8-41cd-b9c3-ffb93cf5d496,Juda koʻp sabzavotlar yemirilmayati,,,Bilmayman,,,41.367299,69.292254,,real,Yo‘q,train,label_source=report_organization
50852cc3-dad1-4000-adad-2bea4a32931e,Kanalizatsiya toshib ketyabdi,,,Bilmayman,,,41.316623,69.445481,,real,Yo‘q,train,label_source=report_organization
50b37442-4b24-420e-a25c-57981aad42af,Yoʻllarda sitafor ishlamgan,,,Bilmayman,,,41.116110,71.359346,,real,Yo‘q,train,label_source=report_organization
50e62fe4-ab53-41b2-bfe2-b842ace14350,Benzin narxlari oshib ketyapti,,,Bilmayman,,,41.386068,69.456940,,real,Yo‘q,train,label_source=report_organization
56a2d215-a5ff-472b-b73f-3372f7b895fc,Elektr shitta nosozlik bor,,,Bilmayman,,,40.834420,68.667065,,real,Yo‘q,validation,label_source=report_organization
584150da-ca2e-428d-b2e9-995b149586aa,Gaz yoq,,,Bilmayman,,,41.247581,69.300041,,real,Yo‘q,train,label_source=report_organization
5a5e9cfa-8158-40ac-85ac-71a375e6e98c,Elektr ishlamayapti,,,Bilmayman,,,41.292272,69.668245,,real,Yo‘q,validation,label_source=report_organization
5eff823d-75a5-452d-ad4a-96ac08e6a17c,Setafor ishlamayapti,,,Bilmayman,,,41.472916,69.567261,,real,Yo‘q,validation,label_source=report_organization
60fb48ce-1c89-4cc1-8c38-a652e2af0c77,Kanalizatsiyada chiqindilar kopayib ketyapti,ECO_WASTE,,Bilmayman,,O‘rta,41.236911,69.247002,,real,Yo‘q,train,label_source=report_organization; detected=ECO_WASTE
6b738c5a-5f1c-4306-9e52-54c2a5ec984f,Svetafor ishlamayapti,,,Bilmayman,,,39.841916,66.963806,,real,Yo‘q,train,label_source=report_organization
6d364f78-3eed-449c-adef-32bb093a01c4,Yollarda yamalar paydo bolgan,,,Bilmayman,,,41.019283,70.087280,,real,Yo‘q,train,label_source=report_organization
6ffead49-5bd3-4924-8aab-43e62e5e06ad,Musir yegilgan,,,Bilmayman,,,38.108628,67.543945,,real,Yo‘q,train,label_source=report_organization
748a5e84-43a5-449b-aaea-ee8f842783d5,Yoʻl qismi suv bosgan,,,Bilmayman,,,40.134938,67.912538,,real,Yo‘q,train,label_source=report_organization
7e3db336-39ae-4882-a99a-405a7206003e,Atrofda yoqimsiz hid bo’lgan,,,Bilmayman,,,40.927348,69.704590,,real,Yo‘q,train,label_source=report_organization
7ea281c2-e43e-45ed-8e9f-f36f22d3f56a,Odamlar suvni axlat qilyapti,ECO_WASTE,,Bilmayman,,O‘rta,41.257903,69.438240,,real,Yo‘q,train,label_source=report_organization; detected=ECO_WASTE
8028c0cd-e051-47b4-bf6f-f17cf373b740,Svet oʻchgan,,,Bilmayman,,,39.752704,64.393024,,real,Yo‘q,test,label_source=report_organization
80d8983a-985e-45ca-91bb-e0a9d92ed81d,Gaz yoq,,,Bilmayman,,,41.678382,64.365234,,real,Yo‘q,train,label_source=report_organization
82804190-d77f-438e-8581-d97a344ce96d,Avtobuslarda konditsioner ishlamaypati,,,Bilmayman,,,41.308442,69.279489,,real,Yo‘q,train,label_source=report_organization
83b912b4-060e-499d-abcc-e987167fa010,Yoʻllarda yamalar bor,,,Bilmayman,,,40.741685,72.373459,,real,Yo‘q,train,label_source=report_organization
89a829aa-8a75-44f2-89d2-b9b2296e21b5,Oziq ovqatlar muddatidan keyin sotilyapti,,,Bilmayman,,,40.892798,69.606873,,real,Yo‘q,train,label_source=report_organization
89fa310a-6feb-41ca-80ba-bd1f9e1b5f23,Setafor ishlamayapti,,,Bilmayman,,,40.530502,72.363281,,real,Yo‘q,train,label_source=report_organization
8b73f4de-e812-4bc2-9863-23f688628a63,Tomdan suv otib ketyapti,,,Bilmayman,,,41.389166,69.279785,,real,Yo‘q,train,label_source=report_organization
8d25cd3a-d280-433c-8c2f-e03011e41c19,Yollarda yamalar kopayib ketyabdi,,,Bilmayman,,,40.077891,64.731445,,real,Yo‘q,train,label_source=report_organization
8d4c1d66-3da0-4c95-bd44-46ac0968b92c,Ochib ketgan piyodalar chizigi,,,Bilmayman,,,41.170063,69.215492,,real,Yo‘q,train,label_source=report_organization
8d730b0f-ca5d-4d4e-a40e-0916c55bfc93,Gaz yoʻq,,,Bilmayman,,,40.777987,72.372369,,real,Yo‘q,train,label_source=report_organization
8dfed371-5274-4dab-8426-a7f6d4660f8f,Chiqindilar yigilib ketyapti,ECO_WASTE,,Bilmayman,,O‘rta,40.466720,71.712280,,real,Yo‘q,train,label_source=report_organization; detected=ECO_WASTE
8e918dd7-1510-4101-9184-fda286b6a224,Yollarda chuqurlar paydo bolgan,,,Bilmayman,,,40.533894,65.738139,,real,Yo‘q,train,label_source=report_organization
8ed41ada-657d-41f4-8c3c-32b0b389b877,Gaz xisoblagich ishlamayapti,,,Bilmayman,,,40.936340,68.763428,,real,Yo‘q,train,label_source=report_organization
926583aa-20f8-4227-8eb1-d11ec15dd189,Avtobusda tolov bilan muammo mavjud,,,Bilmayman,,,40.497258,68.744385,,real,Yo‘q,train,label_source=report_organization
95596457-1b0e-458b-8c5e-ec7c34cfa9bc,Uyali ni buzishyapti,,,Bilmayman,,,41.312240,69.531696,,real,Yo‘q,test,label_source=report_organization
97384637-1dde-4279-b6cd-6471b3e6d484,Noxush hidlar chiqyapti,,,Bilmayman,,,41.224713,69.333252,,real,Yo‘q,train,label_source=report_organization
98339d83-1622-4369-b93a-e0b9800538e0,Gaz bosi past,,,Bilmayman,,,39.712821,64.427490,,real,Yo‘q,validation,label_source=report_organization
9c412801-041e-469f-8ea5-f3aa1f2f9bee,Koʻp qavatli xonadonlar uylar tamir talab,,,Bilmayman,,,41.119895,69.073312,,real,Yo‘q,train,label_source=report_organization
9fee6ae2-0d96-4229-a3c3-49237ac31b15,Mudir yogʻilyapti,,,Bilmayman,,,41.007943,70.149319,,real,Yo‘q,test,label_source=report_organization
a180900c-7c54-4afa-903c-f1b461d86562,Seftafor ishlamaypati,,,Bilmayman,,,43.771278,59.017980,,real,Yo‘q,train,label_source=report_organization
a6130c7f-fa8f-47e6-b1df-29d70e09b882,Palasalar ochib ketgan,,,Bilmayman,,,41.218627,69.271484,,real,Yo‘q,train,label_source=report_organization
a935beaa-f79b-4151-9c2b-ca8663565ddf,Gullarni yemirib axlatga tashlayapti,ECO_WASTE,,Bilmayman,,O‘rta,41.629643,69.952963,,real,Yo‘q,train,label_source=report_organization; detected=ECO_WASTE
aa4770f9-0f55-4094-ba38-ffd808c118dc,Haydovchi bektta that may oʻtib ketti,,,Bilmayman,,,40.823924,68.654711,,real,Yo‘q,train,label_source=report_organization
aa4ee0a6-4bf5-4e19-907f-5bd2528fa490,Sovuq suv yoq,,,Bilmayman,,,41.485884,69.583282,,real,Yo‘q,train,label_source=report_organization
ae0b8357-4b88-49ed-a597-fdea75778f3b,Moshinalarni metalon qilyapti,,,Bilmayman,,,41.386556,69.396207,,real,Yo‘q,train,label_source=report_organization
ae2cda2b-9ec8-4a2d-a6b4-83f084af3060,Harakat paytida telefon ishlatyapti,,,Bilmayman,,,41.040002,69.377747,,real,Yo‘q,test,label_source=report_organization
