record_id,text,primary_problem,secondary_problems,primary_organization,supporting_organizations,priority,latitude,longitude,district,source_type,expert_verified,split,notes,normalized_text,routing_confidence,matched_terms,needs_expert
44c07559-0dea-4ff4-8319-d179a8da8d5d,yo‘l asfalt buzilgan,ROAD_DAMAGE,,Yo‘l boshqarmasi,,O‘rta,41.347989,69.284978,,real,Yo‘q,train,label_source=report_organization,yo‘l asfalt buzilgan,0.8,yo‘l asfalt buzilgan,Yo‘q
9a78b849-ae17-4635-bf80-0983a5d27a1b,title. Musor 3 kundan beri to'panib yotibdi,WASTE,,Ekologiya va obodonlashtirish,,O‘rta,41.348103,69.284953,,real,Yo‘q,test,label_source=report_organization,chiqindi 3 kundan beri to'panib yotibdi,0.88,chiqindi,Yo‘q
5f99edf0-da02-4905-a6e2-4f8fd1b8e650,Setafor ishlamayapyi,,,Bilmayman,,,41.297026,69.169407,,real,Yo‘q,validation,label_source=report_organization,svetofor ishlamayapyi,0.0,,Ha
9f51b1e2-5eec-43a7-a1c7-1d07cee1816e,Set ko'p ochib yonvoti,ELEC_OUTAGE,,Hududiy elektr tarmoqlari,,Yuqori,40.991316,71.243138,,real,Yo‘q,train,label_source=report_organization,svet ko'p o‘chgan yonmoqda,0.84,svet o‘chgan,Yo‘q
a647a230-5356-4d92-b363-9711039f5992,Gaz yoq,GAS_SUPPLY,,Hududiy gaz ta’minoti,,Yuqori,41.006029,71.103048,,real,Yo‘q,validation,label_source=report_organization,gaz yoq,0.76,gaz yoq,Yo‘q
a7a7a3ce-40ae-42fe-9045-54297ca6610a,geo murojaatlarimni ko'rish,,,Bilmayman,,,41.365718,69.29343,,real,Yo‘q,test,label_source=report_organization,geo murojaatlarimni ko'rish,0.0,,Ha
bdecb0b3-6df8-428e-aa37-0b6bdabb50e3,Ko‘chada musorlar yoyilib yotibdi,,,Bilmayman,,,41.288723,69.228613,,real,Yo‘q,train,label_source=report_organization,ko‘chada musorlar yoyilib yotibdi,0.0,,Ha
e87f9520-b1f9-4a30-a5cc-243d4e719529,Gaz you,GAS_SUPPLY,,Hududiy gaz ta’minoti,,Yuqori,41.31005,69.280472,,real,Yo‘q,train,label_source=report_organization,gaz yoq,0.76,gaz yoq,Yo‘q
891fd75d-4d5d-4388-a45d-663ffa955b48,Seftafor ishlamayapti,TRAFFIC_LIGHT,,Yo‘l harakati xavfsizligi boshqarmasi,,Yuqori,41.469997,69.573669,,real,Yo‘q,train,label_source=report_organization,svetofor ishlamayapti,0.76,svetofor ishlamayapti,Yo‘q
97d66df5-5f73-4167-ab3f-949ad758cf47,gaz ochigan,,,Bilmayman,,,41.030035,70.073547,,real,Yo‘q,train,label_source=report_organization,gaz ochigan,0.0,,Ha
b2c96e6f-eec5-48fa-b0be-80be3ea6a07a,seftafor ishlamayapti,TRAFFIC_LIGHT,,Yo‘l harakati xavfsizligi boshqarmasi,,Yuqori,40.288951,71.979675,,real,Yo‘q,validation,label_source=report_organization,svetofor ishlamayapti,0.76,svetofor ishlamayapti,Yo‘q
d4b4eac8-7873-46e3-b668-f880b9a939ca,yollar notekis yamalar kopayib ketgan,ROAD_DAMAGE,,Yo‘l boshqarmasi,,O‘rta,39.488419,63.814087,,real,Yo‘q,train,label_source=report_organization,yo‘l notekis yamalar kopayib ketgan,0.98,yo‘l notekis; yo‘l yamalar,Yo‘q
e281a47f-e518-4df5-a687-94a874b9aa88,sovuq suv ochgamn,WATER_SUPPLY,,Suv ta’minoti,,Yuqori,41.00381,71.098022,,real,Yo‘q,train,label_source=report_organization,sovuq suv oqmayapti,0.8,sovuq suv,Yo‘q
000001e3-0984-42fd-943b-f81ef957c978,Nosos setafor,,,Bilmayman,,,41.367018,69.290428,,real,Yo‘q,train,label_source=report_organization,nosos svetofor,0.0,,Ha
004cdc86-a1dc-4cc3-a730-c901c88e2385,Elektron qurilmalar ishlamayapti,ELEC_OUTAGE,ELEC_EQUIPMENT,Hududiy elektr tarmoqlari,,Yuqori,41.027433,69.329224,,real,Yo‘q,train,label_source=report_organization,elektron qurilmalar ishlamayapti,0.8,elektr ishlamayapti; elektron qurilmalar,Yo‘q
05ba03e8-6c35-42b3-b434-0ae2bf99e43c,Daraxtlar noqonuniy kesilyapti,TREE_CUTTING,,Ekologiya va obodonlashtirish,,Yuqori,41.401602,69.210602,,real,Yo‘q,train,label_source=report_organization,daraxtlar noqonuniy kesilyapti,0.9,daraxt kes; daraxtlar kes,Yo‘q
0a0e166e-a19b-4f5e-8632-3f4f2fedf382,Mahallalar ifloslantirilyapti,WASTE,,Ekologiya va obodonlashtirish,,O‘rta,41.115073,69.044494,,real,Yo‘q,train,label_source=report_organization,mahallalar ifloslantirilyapti,0.76,mahallalar iflos,Yo‘q
0bc6c423-653f-4f08-bfa7-61b155ae4d6b,Stadionlar qurilmagan,SPORT_INFRASTRUCTURE,,Sport boshqarmasi,,Past,41.308184,69.275709,,real,Yo‘q,test,label_source=report_organization,stadionlar qurilmagan,0.76,stadion,Yo‘q
0f0edea4-5631-4a02-a680-398a00b515bb,Setafor ishlamayapti,TRAFFIC_LIGHT,,Yo‘l harakati xavfsizligi boshqarmasi,,Yuqori,39.97712,68.411865,,real,Yo‘q,test,label_source=report_organization,svetofor ishlamayapti,0.76,svetofor ishlamayapti,Yo‘q
13562dae-e62c-4e1d-be7f-7ab912373aab,Gaz yoq,GAS_SUPPLY,,Hududiy gaz ta’minoti,,Yuqori,39.973298,64.541895,,real,Yo‘q,train,label_source=report_organization,gaz yoq,0.76,gaz yoq,Yo‘q
149843bf-fd11-4817-b2c4-b7ed576b6b9b,Gaz bosimi keskin tushib ketgan,GAS_SUPPLY,,Hududiy gaz ta’minoti,,Yuqori,37.235652,67.290531,,real,Yo‘q,train,label_source=report_organization,gaz bosimi keskin tushib ketgan,0.88,gaz bosimi,Yo‘q
1572effa-ccfc-426a-917a-fbc642b06d3b,Elektr shitida kabellar eskirgan,ELEC_EQUIPMENT,,Hududiy elektr tarmoqlari,,Yuqori,41.283483,69.248543,,real,Yo‘q,train,label_source=report_organization,elektr shitida kabellar eskirgan,0.94,elektr shit; kabel,Yo‘q
165c8083-0843-45a7-a4da-8c27c48f6d90,Avtobus Haydovchisi yod agaplashyapti,PUBLIC_TRANSPORT,,Transport boshqarmasi,,O‘rta,41.11931,70.103989,,real,Yo‘q,train,label_source=report_organization,avtobus haydovchisi yod agaplashyapti,0.94,avtobus; haydovchi,Yo‘q
1a940665-d8e8-4e0f-acda-b3af1e51fa80,Uylarni tomi teshilyapti,HOUSING_REPAIR,,Uy-joy kommunal xizmat ko‘rsatish,,O‘rta,41.391873,69.718591,,real,Yo‘q,train,label_source=report_organization,uylarni tomi teshilyapti,0.8,uy tomi,Yo‘q
1b09957c-2218-4507-8878-91d62b89a0af,Daraxtlar ruxsatsiz kesilmoqda,TREE_CUTTING,,Ekologiya va obodonlashtirish,,Yuqori,40.233412,69.239502,,real,Yo‘q,train,label_source=report_organization,daraxtlar ruxsatsiz kesilmoqda,0.98,daraxt kes; daraxtlar kes; ruxsatsiz kes,Yo‘q
1ce6ae06-a892-4b4d-ad86-0b558365f022,Tratuarlarda yollar noqulay holatda,,,Bilmayman,,,41.231453,69.508118,,real,Yo‘q,train,label_source=report_organization,tratuarlarda yo‘l noqulay holatda,0.0,,Ha
1fee2174-f8c8-4ceb-a6a7-9f95468a2e5c,Yol chizigʻi ochib ketgan,,,Bilmayman,,,38.803869,66.160343,,real,Yo‘q,train,label_source=report_organization,yo‘l chizigʻi o‘chgan ketgan,0.0,,Ha
26e1d264-dc00-4e9f-873f-eb12ae7d8ee5,Setafor ishlamayapti,TRAFFIC_LIGHT,,Yo‘l harakati xavfsizligi boshqarmasi,,Yuqori,40.57224,69.0271,,real,Yo‘q,train,label_source=report_organization,svetofor ishlamayapti,0.76,svetofor ishlamayapti,Yo‘q
26fedc2a-df64-4528-8173-238733d4b534,Toʻlovni juda muammo,,,Bilmayman,,,40.487148,68.797031,,real,Yo‘q,train,label_source=report_organization,toʻlovni juda muammo,0.0,,Ha
2bb20bf7-7511-469b-992a-c36735e907a3,Ichimlik suvi quvri yorilgan,WATER_PIPE,WATER_SUPPLY,Suv ta’minoti,,Yuqori,39.635699,67.018668,,real,Yo‘q,train,label_source=report_organization,ichimlik suvi quvur yorilgan,0.94,suv quvur yorilgan; quvur yorilgan; ichimlik suvi,Yo‘q
2d40d8d3-2c1e-480a-bdb4-5c0407248257,Setafor ishlamayapti,TRAFFIC_LIGHT,,Yo‘l harakati xavfsizligi boshqarmasi,,Yuqori,41.007539,70.076294,,real,Yo‘q,test,label_source=report_organization,svetofor ishlamayapti,0.76,svetofor ishlamayapti,Yo‘q
3137442c-95df-4db5-a4f0-f348bdd61788,Sassiq havo koʻpayib ketgan,AIR_POLLUTION,,Ekologiya va obodonlashtirish,,Yuqori,41.389832,69.477639,,real,Yo‘q,test,label_source=report_organization,sassiq havo koʻpayib ketgan,0.84,sassiq havo,Yo‘q
33ddbd9b-a836-4abc-a6fc-3fc778f83457,Koʻchalar iflos,WASTE,,Ekologiya va obodonlashtirish,,O‘rta,41.283401,69.352293,,real,Yo‘q,train,label_source=report_organization,ko‘chalar iflos,0.76,ko‘chalar iflos,Yo‘q
35054b7f-de7b-4573-bbac-314385a5ae06,Kochalar tekislanmayapti,ROAD_DAMAGE,,Yo‘l boshqarmasi,,O‘rta,41.296301,69.671173,,real,Yo‘q,test,label_source=report_organization,ko‘chalar tekislanmayapti,0.76,ko‘chalar tekislanmayapti,Yo‘q
37c49bdc-8ac0-4022-a356-0e1d18055fdf,Yollarda chuqueluk kopayib ketgan,,,Bilmayman,,,41.662311,60.292053,,real,Yo‘q,train,label_source=report_organization,yollarda chuqueluk kopayib ketgan,0.0,,Ha
3a594a3a-5bb4-4b90-aaad-fd22805cffcc,Yol qismini suv bosgan,WATER_PIPE,,Suv ta’minoti,,Yuqori,41.1829,69.299873,,real,Yo‘q,validation,label_source=report_organization,yo‘l qismini suv bosgan,0.84,suv bosgan,Yo‘q
3c17582e-d571-4e88-a8fb-122bedc825f6,Gaz hisoblagich ishlamayapti,GAS_SUPPLY,,Hududiy gaz ta’minoti,,Yuqori,41.363916,69.288025,,real,Yo‘q,train,label_source=report_organization,gaz hisoblagich ishlamayapti,0.8,gaz hisoblagich,Yo‘q
3fc3804a-629a-4914-8b8e-27c0ef17db7c,Gaz koʻpayib ketyapti,,,Bilmayman,,,41.325882,69.360842,,real,Yo‘q,train,label_source=report_organization,gaz koʻpayib ketyapti,0.0,,Ha
41d8164b-ddd9-419c-be4e-7aa4ea70d21e,Seftafor ishlamayapti,TRAFFIC_LIGHT,,Yo‘l harakati xavfsizligi boshqarmasi,,Yuqori,41.715297,60.527115,,real,Yo‘q,train,label_source=report_organization,svetofor ishlamayapti,0.76,svetofor ishlamayapti,Yo‘q
42fe0d0e-9aba-4009-99c0-709f380be223,Suv kemayapti,WATER_SUPPLY,,Suv ta’minoti,,Yuqori,41.310249,69.275366,,real,Yo‘q,train,label_source=report_organization,suv kelmayapti,0.76,suv kelmayapti,Yo‘q
